id,start time,stop time,bikeid,tripduration,from_station_id,from_station_name,to_station_id,to_station_name,usertype,gender,birthyear,rider_length,weekdays
1,12/31/2016 20:01:45,12/31/2016 20:08:01,5180,376,60,Dayton St & North Ave,118,Sedgwick St & North Ave,Subscriber,Male,1971,12:06:16 AM,Saturday
2,12/31/2016 20:01:56,12/31/2016 20:29:11,4959,1635,99,Lake Shore Dr & Ohio St,58,Marshfield Ave & Cortland St,Subscriber,Male,1986,12:27:15 AM,Saturday
3,12/31/2016 20:02:03,12/31/2016 20:13:36,5780,693,220,Hampden Ct & Diversey Pkwy,225,Halsted St & Dickens Ave,Subscriber,Female,1991,12:11:33 AM,Saturday
4,12/31/2016 20:02:21,12/31/2016 20:14:12,4049,711,510,Spaulding Ave & Division St,123,California Ave & Milwaukee Ave,Subscriber,Male,1987,12:11:51 AM,Saturday
5,12/31/2016 20:02:21,12/31/2016 20:14:12,3565,711,510,Spaulding Ave & Division St,123,California Ave & Milwaukee Ave,Subscriber,Male,1986,12:11:51 AM,Saturday
6,12/31/2016 20:02:23,12/31/2016 20:04:29,747,126,44,State St & Randolph St,194,Wabash Ave & Wacker Pl,Subscriber,Male,1987,12:02:06 AM,Saturday
7,12/31/2016 20:03:57,12/31/2016 20:14:35,3237,638,418,Ellis Ave & 53rd St,427,Cottage Grove Ave & 63rd St,Subscriber,Male,1991,12:10:38 AM,Saturday
8,12/31/2016 20:04:11,12/31/2016 20:06:12,5829,121,349,Halsted St & Wrightwood Ave,302,Sheffield Ave & Wrightwood Ave,Subscriber,Male,1989,12:02:01 AM,Saturday
9,12/31/2016 20:05:24,12/31/2016 20:20:43,2113,919,134,Peoria St & Jackson Blvd,30,Ashland Ave & Augusta Blvd,Subscriber,Female,1992,12:15:19 AM,Saturday
10,12/31/2016 20:05:35,12/31/2016 20:21:37,4240,962,502,California Ave & Altgeld St,183,Damen Ave & Augusta Blvd,Customer,Male,1988,12:16:02 AM,Saturday
11,12/31/2016 20:06:18,12/31/2016 20:11:27,1898,309,297,Paulina St & Montrose Ave,344,Ravenswood Ave & Lawrence Ave,Subscriber,Female,1985,12:05:09 AM,Saturday
12,12/31/2016 20:06:35,12/31/2016 20:12:13,973,338,297,Paulina St & Montrose Ave,344,Ravenswood Ave & Lawrence Ave,Subscriber,Male,1986,12:05:38 AM,Saturday
13,12/31/2016 20:06:45,12/31/2016 20:09:49,1504,184,240,Sheridan Rd & Irving Park Rd,165,Clark St & Grace St,Subscriber,Male,1954,12:03:04 AM,Saturday
14,12/31/2016 20:08:08,12/31/2016 20:16:10,4869,482,110,Dearborn St & Erie St,182,Wells St & Elm St,Subscriber,Male,1988,12:08:02 AM,Saturday
15,12/31/2016 20:09:11,12/31/2016 20:16:02,392,411,18,Wacker Dr & Washington St,112,Green St & Randolph St,Subscriber,Male,1966,12:06:51 AM,Saturday
16,12/31/2016 20:10:38,12/31/2016 20:18:09,5838,451,306,Sheridan Rd & Buena Ave,299,Halsted St & Roscoe St,Subscriber,Male,1983,12:07:31 AM,Saturday
17,12/31/2016 20:13:50,12/31/2016 20:17:04,1174,194,138,Clybourn Ave & Division St,27,Larrabee St & North Ave,Subscriber,Male,1996,12:03:14 AM,Saturday
18,12/31/2016 20:14:47,12/31/2016 20:24:09,3827,562,94,Clark St & Armitage Ave,327,Sheffield Ave & Webster Ave,Subscriber,Male,1982,12:09:22 AM,Saturday
19,12/31/2016 20:20:42,12/31/2016 20:56:49,3774,2167,145,Mies van der Rohe Way & Chestnut St,25,Michigan Ave & Pearson St,Subscriber,Male,1997,12:36:07 AM,Saturday
20,12/31/2016 20:21:19,12/31/2016 20:48:16,4284,1617,93,Sheffield Ave & Willow St,93,Sheffield Ave & Willow St,Customer,Male,1983,12:26:57 AM,Saturday
21,12/31/2016 20:22:21,12/31/2016 20:30:37,3431,496,226,Racine Ave & Belmont Ave,327,Sheffield Ave & Webster Ave,Subscriber,Male,1983,12:08:16 AM,Saturday
22,12/31/2016 20:22:22,12/31/2016 20:41:39,4240,1157,183,Damen Ave & Augusta Blvd,346,Ada St & Washington Blvd,Customer,Male,1975,12:19:17 AM,Saturday
23,12/31/2016 20:26:58,12/31/2016 20:45:06,5874,1088,331,Halsted St & Blackhawk St (*),21,Aberdeen St & Jackson Blvd,Subscriber,Male,1980,12:18:08 AM,Saturday
24,12/31/2016 20:27:29,12/31/2016 20:32:40,5738,311,43,Michigan Ave & Washington St,174,Canal St & Madison St,Subscriber,Male,1986,12:05:11 AM,Saturday
25,12/31/2016 20:29:03,12/31/2016 20:31:40,5063,157,175,Wells St & Polk St,50,Clark St & Congress Pkwy,Subscriber,Female,1990,12:02:37 AM,Saturday
26,12/31/2016 20:29:25,12/31/2016 20:36:30,1292,425,38,Clark St & Lake St,337,Clark St & Chicago Ave,Subscriber,Male,1977,12:07:05 AM,Saturday
27,12/31/2016 20:29:29,12/31/2016 20:38:05,4959,516,58,Marshfield Ave & Cortland St,222,Milwaukee Ave & Rockwell St,Subscriber,Male,1980,12:08:36 AM,Saturday
28,12/31/2016 20:29:30,12/31/2016 20:40:01,5175,631,214,Damen Ave & Grand Ave,378,California Ave & Lake St,Subscriber,Female,1994,12:10:31 AM,Saturday
