Airline,Source,Destination,Total_Stops,Price,Date,Month,Year,Dep_hours,Dep_min,Arrival_hours,Arrival_min,Duration_hours,Duration_min
Air Asia,Banglore,Delhi,0,3383,6,5,2019,11,10,13,55,2,45
Air Asia,Banglore,Delhi,0,4483,3,4,2019,23,55,2,45,2,50
Air Asia,Banglore,Delhi,0,3383,12,6,2019,11,10,13,55,2,45
Air Asia,Kolkata,Banglore,0,4409,1,5,2019,10,20,12,55,2,35
Air India,Kolkata,Banglore,2,7662,1,5,2019,5,50,13,15,7,25
Air India,Delhi,Cochin,1,8907,1,6,2019,9,45,23,0,13,15
Air India,Chennai,Kolkata,0,4667,24,6,2019,11,40,13,55,2,15
Air India,Delhi,Cochin,2,14011,3,3,2019,16,40,19,15,26,35
Air India,Delhi,Cochin,2,13381,12,6,2019,20,15,19,15,23,0
Air India,Banglore,New Delhi,1,6955,21,3,2019,22,0,13,20,15,20
Air India,Kolkata,Banglore,2,13227,1,5,2019,9,50,23,15,13,25
Air India,Kolkata,Banglore,0,6245,18,5,2019,14,15,16,45,2,30
Air India,Banglore,New Delhi,1,8714,15,3,2019,6,45,15,15,8,30
Air India,Chennai,Kolkata,0,4667,3,5,2019,11,40,13,55,2,15
Air India,Kolkata,Banglore,1,6117,15,5,2019,19,0,11,5,16,5
Air India,Banglore,New Delhi,2,17345,1,3,2019,8,50,23,55,15,5
Air India,Kolkata,Banglore,1,8366,6,6,2019,9,25,21,50,12,25
Air India,Delhi,Cochin,1,5117,3,4,2019,6,5,9,25,27,20
Air India,Mumbai,Hyderabad,0,3625,6,5,2019,13,55,15,25,1,30
Air India,Delhi,Cochin,2,10861,21,5,2019,5,55,19,15,13,20
Air India,Delhi,Cochin,2,13748,6,3,2019,5,55,19,15,13,20
Air India,Kolkata,Banglore,0,4880,21,4,2019,20,45,23,20,2,35
Air India,Kolkata,Banglore,1,6528,12,5,2019,14,35,14,35,24,0
Air India,Banglore,Delhi,0,6121,1,5,2019,6,10,8,55,2,45
Air India,Delhi,Cochin,2,11596,9,5,2019,12,55,19,15,30,20
Air India,Delhi,Cochin,1,12677,6,3,2019,17,20,9,25,16,5
Air India,Mumbai,Hyderabad,0,3100,3,5,2019,15,0,16,25,1,25
Air India,Delhi,Cochin,1,27430,1,3,2019,23,0,19,15,20,15
Air India,Kolkata,Banglore,2,10676,21,5,2019,12,0,11,10,23,10
Air India,Banglore,New Delhi,1,5932,21,3,2019,11,50,19,50,8,0
Air India,Delhi,Cochin,2,10441,27,6,2019,22,0,19,15,21,15
Air India,Delhi,Cochin,1,5117,3,4,2019,12,30,9,25,20,55
